,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
IFRD1,4.621758856709731,4.5453506448223004,5.10055722078293,6.350850805483375,5.598722499676621,5.624100894628113,5.777682717073553,5.8960296029767525
LGALS14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX10,3.8011586560936985,3.400537929583728,3.3978029618624896,4.1715271060388135,2.5509006646475227,2.6915341649192,4.124328135002202,3.1858665453113337
GTF2IRD1,4.108524456778168,3.8308637567517576,4.649040565634449,3.4750848829487837,3.6403895600549454,4.651338766105932,2.8196681834964554,4.207111961207714
PAF1,6.51774811422812,4.9804823555382605,6.1838834590322325,4.978195629681651,5.181102550753798,6.368244526376843,5.948133577840401,5.331633567171028
VPS41,4.565597175854225,3.548436624696042,4.211790976252541,4.51096191927738,3.8718436485093184,4.9616233282869455,4.222650022451478,5.007644030878014
ARHGAP44,1.7355221772965377,1.0214797274104517,0.4005379295837289,0.8479969065549499,0.1890338243900171,0.7311832415722002,1.7990873060740036,0.6415460290875237
ELAC2,5.97246290720214,4.7985690035568815,4.991861930556324,5.14934066928622,5.14934066928622,4.721919445551544,6.345005983008723,4.695437110405369
SCIN,0.7048719644563528,0.0285691521967709,1.6182386555954549,0.070389327891398,1.0565835283663676,5.8960296029767525,0.070389327891398,0.137503523749935
ARSD,4.836934011321092,2.130930869826449,3.792855352362488,3.24031432933371,2.4672794804599825,4.656496370553495,2.885574364371426,3.868884273028773
PNPLA4,1.9068905956085185,3.824767853143294,2.1538053360790355,0.0,3.9616233282869446,3.9763636357327616,3.734438666137167,3.4369613378336026
MYH13,0.0,0.01435529297707,0.0,0.0285691521967709,0.0,0.0,0.0,0.0
ADIPOR2,5.531381460516311,5.110196177754199,5.282439805006387,5.346956889378885,4.139142019145689,5.19416586852982,5.732811872082943,5.141596278383818
CDKL3,0.8953026213333066,1.0071955014042038,0.3785116232537297,1.8639384504239715,0.7739963251111731,2.263034405833794,1.5509006646475232,1.372952097911829
UPP2,0.0565835283663675,0.0426443374084937,0.0,0.0,0.0,0.0,0.0,0.0
PRSS21,0.0,0.0,0.0840642647884745,0.0,0.2016338611696504,3.3743439890385014,0.2630344058337938,0.0
MARK4,3.190614860209497,3.8135246892978105,3.1651079851445365,3.8186460828225393,2.2570106182060234,2.8972404255747994,2.1795110502715103,2.713695814843359
PROM1,0.01435529297707,2.9164766444377164,5.704871964456352,0.1505596765753814,0.01435529297707,2.51096191927738,0.070389327891398,0.5655971758542251
CCDC124,7.228433920513367,6.18824265626441,6.830863756751758,6.186659017202112,7.184379486212944,6.350320435387008,6.17672169288105,6.3380677975426165
CEACAM21,0.070389327891398,0.0,0.0,0.0,0.1110313123887439,0.0,0.0,0.0
PAFAH1B1,5.3930042568983225,4.143230134776894,4.6194130105979365,6.10244817792658,4.43028527297778,5.137913322088408,6.459431618637298,4.610581958492531
NOS2,0.01435529297707,0.0285691521967709,0.0,0.0,0.01435529297707,0.0,0.2141248053528473,0.0285691521967709
DNAH9,0.01435529297707,0.01435529297707,0.1110313123887439,4.349082146391089,0.0,0.0,0.0285691521967709,0.0
KIAA0100,6.051372101721026,4.735522177296539,6.1711267466520665,4.940166750482817,5.1305190830273375,6.276868829976456,5.869377924031327,6.099295204337776
SLC13A2,0.0,0.0426443374084937,0.0,0.0,0.0,0.0,0.0,0.0285691521967709
GAS7,0.070389327891398,0.3103401206121505,0.1505596765753814,5.6293566200796095,0.070389327891398,0.5753123306874368,1.1243281350022014,0.3895668117627256
TRAPPC6A,6.644865723007923,3.646162657157894,6.012568673503057,3.73768676140986,3.9231491804723087,5.716442236843322,3.823749360308273,4.390942772802543
MATK,3.418189947945766,0.1505596765753814,0.2509615735332188,0.070389327891398,0.0426443374084937,0.0976107966264223,0.1634987322828795,0.0426443374084937
CEACAM7,0.0285691521967709,0.0,0.6135316529179271,0.0,0.0,0.0,0.0285691521967709,0.0285691521967709
CD79B,0.0,0.1634987322828795,0.070389327891398,0.070389327891398,0.0285691521967709,1.0908534304511135,0.0840642647884745,0.0285691521967709
SCN4A,0.01435529297707,0.0426443374084937,0.0,0.0,0.01435529297707,0.7484612330040357,0.0976107966264223,0.01435529297707
ST7L,3.7224660244710894,3.19534759832222,4.097610796626422,4.019701914442548,3.468583317006828,3.0891591319112384,3.4342946179599254,4.489928219405184
TKTL1,0.0,0.0,0.01435529297707,0.3895668117627256,0.0,0.0,0.0,0.070389327891398
PAX6,0.01435529297707,0.6507645591169022,0.070389327891398,0.0,2.553360503335328,1.918386234446348,0.8875252707415875,0.2141248053528473
RPUSD1,4.906409617094015,4.035623909730721,5.078097423026661,3.3950627995175777,4.767125077269071,2.794935662803536,3.963474123974886,3.371558862611963
RHBDF1,4.568640195419222,2.2078928516413328,6.5498231649670045,4.9954845188775066,4.081510068120917,3.825785627464792,3.4342946179599254,3.6205864104518777
LUC7L,5.172327491657617,4.524815928357506,4.942514505339241,4.2592724870375935,4.5279460989082585,4.258518924711301,5.5530532527664125,4.840966704487421
CACNA2D2,0.8318772411916731,0.070389327891398,0.7907720378619999,0.2630344058337938,0.6780719051126377,0.6507645591169022,0.2750070474998698,0.5459683691052926
BAIAP3,3.873813198359087,1.8519988371124465,2.3701642805402097,0.765534746362977,2.2047667506546134,1.74416109557041,0.1634987322828795,0.5058909297299572
TSR3,5.1280458909229925,4.819668183496455,5.464668267003446,4.932155684432057,5.387155717662981,3.979110755015786,5.328046556270742,4.998646839005795
